step_arrived;step_collisions;step_duration;step_ended;step_halting;step_inserted;step_loaded;step_meanSpeed;step_meanSpeedRelative;step_meanTravelTime;step_meanWaitingTime;step_running;step_stopped;step_teleports;step_time;step_waiting
0;0;1674569496243;0;8;8;9;0.00;0.00;-1.00;0.00;8;0;0;0.00;0
0;0;1674569496243;0;1;9;489;1.90;0.14;-1.00;0.00;9;0;0;1.00;0
0;0;1674569496268;0;2;11;489;3.41;0.25;-1.00;0.00;11;0;0;2.00;0
0;0;1674569496268;0;1;12;489;5.05;0.36;-1.00;0.00;12;0;0;3.00;0
0;0;1674569496269;0;5;17;489;5.02;0.36;-1.00;0.00;17;0;0;4.00;0
0;0;1674569496269;0;1;18;489;6.63;0.48;-1.00;0.00;18;0;0;5.00;0
0;0;1674569496269;0;3;21;489;7.28;0.52;-1.00;0.00;21;0;0;6.00;0
0;0;1674569496269;0;1;22;489;8.74;0.63;-1.00;0.00;22;0;0;7.00;0
0;0;1674569496269;0;2;24;489;8.99;0.65;-1.00;0.00;24;0;0;8.00;1
0;0;1674569496270;0;5;29;489;8.42;0.61;-1.00;0.03;29;0;0;9.00;0
0;0;1674569496270;0;2;31;489;9.11;0.66;-1.00;0.03;31;0;0;10.00;0
0;0;1674569496270;0;1;32;489;9.79;0.70;-1.00;0.03;32;0;0;11.00;0
0;0;1674569496270;0;4;36;489;9.54;0.69;-1.00;0.03;36;0;0;12.00;0
0;0;1674569496271;0;0;36;489;10.36;0.75;-1.00;0.03;36;0;0;13.00;0
0;0;1674569496271;0;4;40;489;10.09;0.73;-1.00;0.03;40;0;0;14.00;0
0;0;1674569496271;0;2;42;489;10.24;0.74;-1.00;0.02;42;0;0;15.00;0
0;0;1674569496272;0;1;43;489;10.62;0.76;-1.00;0.02;43;0;0;16.00;0
0;0;1674569496272;0;3;46;489;10.23;0.74;-1.00;0.02;46;0;0;17.00;0
0;0;1674569496272;0;3;49;489;10.07;0.72;-1.00;0.02;49;0;0;18.00;0
0;0;1674569496273;0;3;52;489;9.83;0.71;-1.00;0.02;52;0;0;19.00;0
0;0;1674569496273;0;4;55;489;9.69;0.70;-1.00;0.02;55;0;0;20.00;0
0;0;1674569496274;0;4;56;489;10.20;0.73;-1.00;0.02;56;0;0;21.00;1
0;0;1674569496274;0;5;58;489;10.39;0.75;-1.00;0.03;58;0;0;22.00;0
0;0;1674569496275;0;5;60;489;10.23;0.74;-1.00;0.03;60;0;0;23.00;0
0;0;1674569496280;0;7;64;489;9.91;0.71;-1.00;0.03;64;0;0;24.00;0
0;0;1674569496281;0;6;67;489;9.80;0.71;-1.00;0.03;67;0;0;25.00;0
0;0;1674569496281;0;6;68;489;9.92;0.71;-1.00;0.03;68;0;0;26.00;0
0;0;1674569496282;0;7;70;489;9.90;0.71;-1.00;0.03;70;0;0;27.00;0
0;0;1674569496282;0;9;73;489;9.78;0.70;-1.00;0.03;73;0;0;28.00;0
0;0;1674569496283;0;10;76;489;9.52;0.69;-1.00;0.03;76;0;0;29.00;0
0;0;1674569496283;0;8;77;489;9.80;0.71;-1.00;0.03;77;0;0;30.00;0
0;0;1674569496284;0;10;79;489;9.82;0.71;-1.00;0.03;79;0;0;31.00;0
0;0;1674569496285;0;11;80;489;9.94;0.72;-1.00;0.03;80;0;0;32.00;0
0;0;1674569496285;0;12;81;489;9.87;0.71;-1.00;0.02;81;0;0;33.00;0
0;0;1674569496286;0;16;86;489;9.46;0.68;-1.00;0.02;86;0;0;34.00;0
0;0;1674569496286;0;12;87;489;9.58;0.69;-1.00;0.02;87;0;0;35.00;0
0;0;1674569496287;0;17;91;489;9.40;0.68;-1.00;0.02;91;0;0;36.00;0
